_timeStamp,_carCoordinates_x,_carCoordinates_y,_carCoordinates_z,_speed,_acc_frontal,_acc_horizontal,_gas,_suspensionDiff_FL,_suspensionDiff_FR,_suspensionDiff_BL,_suspensionDiff_BR,isTactileMotionOngoing,_leftMotor,_rightMotor,Cue0,Cue1,Cue2,Cue3,Cue4,Cue5,Cue6,Cue7,Cue8,Cue9,Cue10,Cue11,Cue12,Cue13,Cue14,Cue15,Shake0,Shake1,Shake2,Shake3,Shake4,Shake5,Shake6,Shake7,Shake8,Shake9,Shake10,Shake11,Shake12,Shake13,Shake14,Shake15,Sum0,Sum1,Sum2,Sum3,Sum4,Sum5,Sum6,Sum7,Sum8,Sum9,Sum10,Sum11,Sum12,Sum13,Sum14,Sum15
518.92,555.2718,6.098436,179.512,0.0004909108,0,0,0,-0.00360486,-0.004176885,0.002720276,0.00284262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
518.94,555.2718,6.098413,179.512,0.002410963,0,0,0,-0.003044094,-0.003410076,0.002727138,0.002485494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
518.96,555.2718,6.098413,179.512,0.002410963,0,0,0,-0.003044094,-0.003410076,0.002727138,0.002485494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
518.98,555.2718,6.098413,179.512,0.002410963,0,0,0,-0.003044094,-0.003410076,0.002727138,0.002485494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
519,555.2718,6.098413,179.512,0.002410963,0,0,0,-0.003044094,-0.003410076,0.002727138,0.002485494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
519.02,555.2718,6.098413,179.512,0.002410963,0,0,0,-0.003044094,-0.003410076,0.002727138,0.002485494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
519.04,555.2718,6.098396,179.512,0.001730301,0,0,0,-0.00272253,-0.002792142,0.003437457,0.002772383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
519.06,555.2718,6.098396,179.512,0.001730301,0,0,0,-0.00272253,-0.002792142,0.003437457,0.002772383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
519.08,555.2718,6.098385,179.512,0.004093087,0,0,0,-0.002947521,-0.002957987,0.003336725,0.00257077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
519.1,555.2718,6.098385,179.512,0.004093087,0,0,0,-0.002947521,-0.002957987,0.003336725,0.00257077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
